Date,NAV
2007-04-04,103.03
2007-04-05,103.06
2007-04-09,103.11
2007-04-10,103.13
2007-04-11,103.26
2007-04-12,103.32
2007-04-13,103.37
2007-04-16,103.54
2007-04-17,103.68
2007-04-18,103.78
2007-04-19,103.84
2007-04-20,103.96
2007-04-23,104.18
2007-04-24,104.27
2007-04-25,104.35
2007-04-26,104.4
2007-04-27,104.43
2007-04-30,104.52
2007-05-01,104.29
2007-05-02,104.22
2007-05-03,104.23
2007-05-04,104.35
2007-05-07,104.45
2007-05-08,104.45
2007-05-09,104.51
2007-05-10,104.6
2007-05-11,104.65
2007-05-14,104.75
2007-05-15,104.78
2007-05-16,104.79
2007-05-17,104.83
2007-05-18,104.81
2007-05-21,104.91
2007-05-22,104.85
2007-05-23,104.93
2007-05-24,104.91
2007-05-25,104.92
2007-05-29,104.95
2007-05-30,104.93
2007-05-31,104.87
2007-06-01,104.28
2007-06-04,104.28
2007-06-05,104.17
2007-06-06,104.14
2007-06-07,103.79
2007-06-08,103.42
2007-06-11,103.35
2007-06-12,103.0
2007-06-13,102.71
2007-06-14,102.59
2007-06-15,102.71
2007-06-18,102.79
2007-06-19,102.9
2007-06-20,102.74
2007-06-21,102.62
2007-06-22,102.54
2007-06-25,102.47
2007-06-26,102.34
2007-06-27,102.16
2007-06-28,101.69
2007-06-29,101.74
2007-07-02,101.02
2007-07-03,100.96
2007-07-05,100.83
2007-07-06,100.8
2007-07-09,100.85
2007-07-10,100.86
2007-07-11,100.66
2007-07-12,100.22
2007-07-13,100.47
2007-07-16,100.79
2007-07-17,100.97
2007-07-18,100.8
2007-07-19,100.56
2007-07-20,100.42
2007-07-23,100.0
2007-07-24,99.29
2007-07-25,98.54
2007-07-26,98.36
2007-07-27,97.92
2007-07-30,96.61
2007-07-31,96.58
2007-08-01,96.43
2007-08-02,96.42
2007-08-03,96.98
2007-08-06,97.06
2007-08-07,97.18
2007-08-08,97.48
2007-08-09,98.16
2007-08-10,98.23
2007-08-13,98.32
2007-08-14,98.59
2007-08-15,98.62
2007-08-16,98.38
2007-08-17,98.03
2007-08-20,98.11
2007-08-21,98.12
2007-08-22,98.61
2007-08-23,98.93
2007-08-24,98.88
2007-08-27,99.29
2007-08-28,99.34
2007-08-29,99.34
2007-08-30,99.3
2007-08-31,99.35
2007-09-04,98.8
2007-09-05,98.94
2007-09-06,99.13
2007-09-07,99.23
2007-09-10,99.23
2007-09-11,99.23
2007-09-12,99.26
2007-09-13,99.3
2007-09-14,99.34
2007-09-17,99.6
2007-09-18,99.83
2007-09-19,100.34
2007-09-20,100.88
2007-09-21,100.96
2007-09-24,101.46
2007-09-25,101.49
2007-09-26,101.57
2007-09-27,101.69
2007-09-28,101.8
2007-10-01,101.16
2007-10-02,101.11
2007-10-03,101.18
2007-10-04,101.48
2007-10-05,101.7
2007-10-08,101.76
2007-10-09,101.9
2007-10-10,102.13
2007-10-11,102.3
2007-10-12,102.43
2007-10-15,102.44
2007-10-16,102.42
2007-10-17,102.12
2007-10-18,101.97
2007-10-19,101.72
2007-10-22,101.48
2007-10-23,101.44
2007-10-24,101.53
2007-10-25,101.53
2007-10-26,101.57
2007-10-29,101.69
2007-10-30,101.72
2007-10-31,101.72
2007-11-01,101.09
2007-11-02,100.78
2007-11-05,100.66
2007-11-06,100.55
2007-11-07,100.46
2007-11-08,100.17
2007-11-09,100.17
2007-11-12,100.23
2007-11-13,99.73
2007-11-14,99.6
2007-11-15,99.56
2007-11-16,99.23
2007-11-19,98.89
2007-11-20,98.3
2007-11-21,97.9
2007-11-23,97.63
2007-11-26,97.61
2007-11-27,97.71
2007-11-28,97.82
2007-11-29,98.15
2007-11-30,98.52
2007-12-03,98.22
2007-12-04,98.22
2007-12-05,98.16
2007-12-06,98.36
2007-12-07,98.41
2007-12-10,98.66
2007-12-11,98.87
2007-12-12,98.99
2007-12-13,98.99
2007-12-14,98.89
2007-12-17,98.832082
2007-12-18,98.684009
2007-12-19,98.639377
2007-12-20,98.631211
2007-12-21,98.582284
2007-12-24,98.765998
2007-12-26,98.799742
2007-12-27,98.311639
2007-12-28,98.334151
2007-12-31,98.529749
2008-01-02,98.461518
2008-01-03,98.400985
2008-01-04,98.16074
2008-01-07,97.595806
2008-01-08,97.096347
2008-01-09,96.731802
2008-01-10,96.208633
2008-01-11,96.292858
2008-01-14,96.468322
2008-01-15,96.489432
2008-01-16,96.494415
2008-01-17,96.20372
2008-01-18,95.885143
2008-01-22,95.653567
2008-01-23,95.713853
2008-01-24,95.1329
2008-01-25,95.392759
2008-01-28,95.919569
2008-01-29,96.195076
2008-01-30,96.399987
2008-01-31,96.499395
2008-02-01,95.94662
2008-02-04,96.064704
2008-02-05,96.172808
2008-02-06,95.965028
2008-02-07,95.804437
2008-02-08,95.387483
2008-02-11,94.907622
2008-02-12,94.50595
2008-02-13,94.274411
2008-02-14,94.312476
2008-02-15,94.384284
2008-02-19,94.377596
2008-02-20,94.305016
2008-02-21,94.262999
2008-02-22,94.357061
2008-02-25,94.548832
2008-02-26,94.931221
2008-02-27,95.042769
2008-02-28,95.287555
2008-02-29,95.266576
2008-03-03,94.587581
2008-03-04,94.452764
2008-03-05,94.380449
2008-03-06,94.329284
2008-03-07,94.34744
2008-03-10,94.301206
2008-03-11,94.413767
2008-03-12,94.021255
2008-03-13,93.923024
2008-03-14,93.393679
2008-03-17,93.5517
2008-03-18,93.155003
2008-03-19,93.26704
2008-03-20,93.566854
2008-03-24,93.845522
2008-03-25,93.78218
2008-03-26,94.072013
2008-03-27,94.053546
2008-03-28,94.298192
2008-03-31,94.456638
2008-04-01,93.774298
2008-04-02,93.925955
2008-04-03,94.159259
2008-04-04,94.396437
2008-04-07,95.059306
2008-04-08,95.312239
2008-04-09,95.413136
2008-04-10,95.404102
2008-04-11,95.365377
2008-04-14,95.342622
2008-04-15,95.32889
2008-04-16,95.518542
2008-04-17,95.765691
2008-04-18,96.004967
2008-04-21,96.526928
2008-04-22,96.679225
2008-04-23,96.798861
2008-04-24,96.792214
2008-04-25,97.026923
2008-04-28,97.313468
2008-04-29,97.316331
2008-04-30,97.553249
2008-05-01,97.196288
2008-05-02,98.059792
2008-05-05,98.402296
2008-05-06,98.17007
2008-05-07,97.970971
2008-05-08,97.854319
2008-05-09,97.712783
2008-05-12,97.840872
2008-05-13,97.473207
2008-05-14,97.635054
2008-05-15,97.818315
2008-05-16,97.930149
2008-05-19,98.158858
2008-05-20,98.18776
2008-05-21,98.001354
2008-05-22,98.071259
2008-05-23,97.986884
2008-05-27,97.671501
2008-05-28,97.459039
2008-05-29,97.351537
2008-05-30,97.473811
2008-06-02,96.857936
2008-06-03,96.524227
2008-06-04,96.357234
2008-06-05,96.098381
2008-06-06,96.598871
2008-06-09,96.351977
2008-06-10,96.271522
2008-06-11,96.260267
2008-06-12,95.813281
2008-06-13,95.938084
2008-06-16,95.978613
2008-06-17,96.064628
2008-06-18,96.098254
2008-06-19,95.82013
2008-06-20,95.670353
2008-06-23,95.244136
2008-06-24,95.211432
2008-06-25,94.209194
2008-06-26,93.868725
2008-06-27,92.989726
2008-06-30,93.151779
2008-07-01,91.988341
2008-07-02,91.83571
2008-07-03,91.958658
2008-07-07,92.32904
2008-07-08,91.883178
2008-07-09,91.582054
2008-07-10,91.818451
2008-07-11,91.670611
2008-07-14,91.60963
2008-07-15,91.385407
2008-07-16,91.42242
2008-07-17,91.338362
2008-07-18,91.727972
2008-07-21,91.832082
2008-07-22,92.109005
2008-07-23,92.157395
2008-07-24,92.464805
2008-07-25,92.370365
2008-07-28,92.522164
2008-07-29,92.359354
2008-07-30,92.05994
2008-07-31,92.18857
2008-08-01,91.333807
2008-08-04,91.206635
2008-08-05,91.102129
2008-08-06,91.021364
2008-08-07,91.117066
2008-08-08,90.793453
2008-08-11,90.889654
2008-08-12,91.014068
2008-08-13,91.019458
2008-08-14,91.167569
2008-08-15,91.124431
2008-08-18,91.377139
2008-08-19,91.525673
2008-08-20,91.412397
2008-08-21,91.263712
2008-08-22,91.127795
2008-08-25,91.357083
2008-08-26,91.318591
2008-08-27,91.42818
2008-08-28,91.350134
2008-08-29,91.523273
2008-09-02,90.950808
2008-09-03,91.22133
2008-09-04,91.338275
2008-09-05,91.168336
2008-09-08,91.546805
2008-09-09,91.55352
2008-09-10,91.298053
2008-09-11,91.318675
2008-09-12,91.235775
2008-09-15,90.842204
2008-09-16,89.445749
2008-09-17,88.846719
2008-09-18,87.800244
2008-09-19,87.890327
2008-09-22,88.693264
2008-09-23,88.549944
2008-09-24,88.304044
2008-09-25,87.354742
2008-09-26,86.013066
2008-09-29,85.225071
2008-09-30,84.131612
2008-10-01,82.438025
2008-10-02,81.137966
2008-10-03,79.326332
2008-10-06,78.463862
2008-10-07,76.705687
2008-10-08,76.259569
2008-10-09,75.018379
2008-10-10,73.988552
2008-10-13,74.055698
2008-10-14,71.032771
2008-10-15,70.183591
2008-10-16,68.563153
2008-10-17,67.945661
2008-10-20,68.217619
2008-10-21,69.606125
2008-10-22,70.173456
2008-10-23,69.800099
2008-10-24,69.432626
2008-10-27,68.332983
2008-10-28,67.775452
2008-10-29,67.797558
2008-10-30,68.175064
2008-10-31,68.999021
2008-11-03,68.894165
2008-11-04,69.610333
2008-11-05,69.947655
2008-11-06,70.465296
2008-11-07,70.502111
2008-11-10,70.530177
2008-11-11,70.552757
2008-11-12,70.514599
2008-11-13,70.295588
2008-11-14,70.087272
2008-11-17,69.288459
2008-11-18,68.258227
2008-11-19,65.826587
2008-11-20,64.629583
2008-11-21,63.337229
2008-11-24,63.175024
2008-11-25,62.937165
2008-11-26,63.232367
2008-11-28,63.522821
2008-12-01,62.878151
2008-12-02,63.057307
2008-12-03,62.92874
2008-12-04,62.626793
2008-12-05,62.445542
2008-12-08,62.626001
2008-12-09,62.643526
2008-12-10,62.440912
2008-12-11,62.80727
2008-12-12,62.908026
2008-12-15,62.349605
2008-12-16,62.667591
2008-12-17,62.680221
2008-12-18,64.116119
2008-12-19,65.655317
2008-12-22,65.93752
2008-12-23,66.611173
2008-12-24,67.219918
2008-12-26,67.340264
2008-12-29,67.444128
2008-12-30,68.268718
2008-12-31,68.500468
2009-01-02,68.43922
2009-01-05,70.441188
2009-01-06,72.759596
2009-01-07,74.238473
2009-01-08,74.352491
2009-01-09,73.92101
2009-01-12,74.222642
2009-01-13,74.0389
2009-01-14,74.121452
2009-01-15,73.541379
2009-01-16,72.898559
2009-01-20,72.929533
2009-01-21,72.647684
2009-01-22,72.338759
2009-01-23,72.025424
2009-01-26,71.648042
2009-01-27,71.869498
2009-01-28,72.177204
2009-01-29,72.376781
2009-01-30,72.520574
2009-02-02,71.837579
2009-02-03,71.807553
2009-02-04,72.005213
2009-02-05,72.346612
2009-02-06,72.299344
2009-02-09,72.280634
2009-02-10,72.424731
2009-02-11,72.646374
2009-02-12,72.20556
2009-02-13,71.914912
2009-02-17,71.723099
2009-02-18,71.303645
2009-02-19,70.639158
2009-02-20,70.943508
2009-02-23,70.934931
2009-02-24,70.217966
2009-02-25,69.110909
2009-02-26,68.845649
2009-02-27,68.452446
2009-03-02,66.882219
2009-03-03,66.176827
2009-03-04,65.161963
2009-03-05,64.380864
2009-03-06,63.659544
2009-03-09,63.600005
2009-03-10,63.715977
2009-03-11,63.949093
2009-03-12,64.160513
2009-03-13,64.637008
2009-03-16,65.144581
2009-03-17,65.689378
2009-03-18,65.596565
2009-03-19,65.664208
2009-03-20,66.15892
2009-03-23,66.335692
2009-03-24,66.781409
2009-03-25,67.091096
2009-03-26,67.136945
2009-03-27,67.450405
2009-03-30,67.786809
2009-03-31,67.94119
2009-04-01,67.073145
2009-04-02,67.17376
2009-04-03,67.522644
2009-04-06,67.855098
2009-04-07,68.067131
2009-04-08,68.224218
2009-04-09,68.960594
2009-04-13,69.433723
2009-04-14,69.63964
2009-04-15,69.877491
2009-04-16,70.214599
2009-04-17,70.565879
2009-04-20,71.342369
2009-04-21,71.099227
2009-04-22,70.959528
2009-04-23,70.970699
2009-04-24,71.313004
2009-04-27,71.657597
2009-04-28,71.765029
2009-04-29,72.038341
2009-04-30,72.79038
2009-05-01,72.368628
2009-05-04,72.716964
2009-05-05,73.055007
2009-05-06,73.241992
2009-05-07,73.525276
2009-05-08,73.904458
2009-05-11,74.428697
2009-05-12,74.337776
2009-05-13,74.358055
2009-05-14,73.995612
2009-05-15,74.063786
2009-05-18,74.018508
2009-05-19,73.816741
2009-05-20,74.228821
2009-05-21,74.610481
2009-05-22,74.801412
2009-05-26,75.184077
2009-05-27,75.40186
2009-05-28,75.542154
2009-05-29,75.978123
2009-06-01,75.633087
2009-06-02,76.109786
2009-06-03,76.688891
2009-06-04,76.84707
2009-06-05,76.73629
2009-06-08,76.866863
2009-06-09,77.136735
2009-06-10,77.418401
2009-06-11,77.656924
2009-06-12,77.774908
2009-06-15,78.197344
2009-06-16,78.256636
2009-06-17,77.976466
2009-06-18,77.32517
2009-06-19,76.980379
2009-06-22,76.81599
2009-06-23,76.582975
2009-06-24,76.27627
2009-06-25,76.504602
2009-06-26,76.716473
2009-06-29,76.955409
2009-06-30,77.20572
2009-07-01,76.741898
2009-07-02,76.962546
2009-07-06,76.982991
2009-07-07,76.787909
2009-07-08,76.801326
2009-07-09,76.544471
2009-07-10,76.515868
2009-07-13,76.499679
2009-07-14,76.544588
2009-07-15,76.666996
2009-07-16,76.922245
2009-07-17,77.206962
2009-07-20,77.764735
2009-07-21,78.093256
2009-07-22,78.751518
2009-07-23,79.299117
2009-07-24,79.816025
2009-07-27,80.653012
2009-07-28,80.989072
2009-07-29,80.880225
2009-07-30,81.071468
2009-07-31,81.740123
2009-08-03,82.045053
2009-08-04,82.149401
2009-08-05,82.127403
2009-08-06,82.07782
2009-08-07,82.448592
2009-08-10,82.589452
2009-08-11,82.630489
2009-08-12,82.146254
2009-08-13,81.701627
2009-08-14,81.912876
2009-08-17,81.348791
2009-08-18,80.597042
2009-08-19,80.237567
2009-08-20,80.414393
2009-08-21,80.244439
2009-08-24,80.544987
2009-08-25,80.508009
2009-08-26,80.996381
2009-08-27,80.90992
2009-08-28,81.042293
2009-08-31,80.994847
2009-09-01,80.4351
2009-09-02,80.312707
2009-09-03,80.363753
2009-09-04,80.507334
2009-09-08,80.627975
2009-09-09,80.753922
2009-09-10,81.479286
2009-09-11,81.764418
2009-09-14,82.512209
2009-09-15,83.101184
2009-09-16,83.691746
2009-09-17,84.191746
2009-09-18,84.265783
2009-09-21,84.268144
2009-09-22,84.611344
2009-09-23,84.982921
2009-09-24,85.425609
2009-09-25,85.306855
2009-09-28,85.248024
2009-09-29,85.307583
2009-09-30,85.07266
2009-10-01,84.195266
2009-10-02,83.892911
2009-10-05,83.781398
2009-10-06,83.968735
2009-10-07,84.05795
2009-10-08,83.954684
2009-10-09,84.111614
2009-10-12,84.158528
2009-10-13,84.352229
2009-10-14,84.322894
2009-10-15,84.495334
2009-10-16,84.731894
2009-10-19,84.858401
2009-10-20,85.076661
2009-10-21,85.368973
2009-10-22,85.416743
2009-10-23,85.587034
2009-10-26,85.758829
2009-10-27,86.004163
2009-10-28,85.490963
2009-10-29,85.311411
2009-10-30,85.089037
2009-11-02,84.332834
2009-11-03,84.184535
2009-11-04,84.097871
2009-11-05,84.175226
2009-11-06,84.292315
2009-11-09,84.391086
2009-11-10,84.549442
2009-11-11,84.560509
2009-11-12,84.764937
2009-11-13,84.855312
2009-11-16,85.007565
2009-11-17,85.019414
2009-11-18,85.053181
2009-11-19,85.07587
2009-11-20,84.979509
2009-11-23,84.953201
2009-11-24,84.97669
2009-11-25,85.155099
2009-11-27,85.162933
2009-11-30,85.082054
2009-12-01,84.620003
2009-12-02,84.744685
2009-12-03,84.578816
2009-12-04,84.773378
2009-12-07,85.139451
2009-12-08,85.152921
2009-12-09,85.155742
2009-12-10,85.406273
2009-12-11,85.566314
2009-12-14,85.786062
2009-12-15,85.861802
2009-12-16,86.20869
2009-12-17,86.346483
2009-12-18,86.429715
2009-12-21,86.44246
2009-12-22,86.446855
2009-12-23,86.833865
